date;id;filename;category;colonies;strain;medium;multicolor;obs;colonysize;recount
16/09/2021;1;A0000125pa5gr2idie3f2bv4kupalr1.jpg;0;0;None;M9_cit;0;;big;
16/09/2021;2;A000015fnp53868wk181oa8q35bhdfj.jpg;0;0;None;M9_cit;0;;big;
16/09/2021;3;A000017blexsmxpoldrkko23xwipyb0.jpg;0;0;None;M9_cit;0;;big;
16/09/2021;4;A00001bgvr54etcrd66lmu3dhparv5a.jpg;0;0;None;M9_cit;0;;big;
16/09/2021;5;A00001cvlner9f6ccik1m3yzgx7euby.jpg;0;0;None;M9_cit;0;;big;
16/09/2021;6;A00001g55zyv68qmezpfr794x4itvl6.jpg;0;0;None;M9_cit;0;;big;
16/09/2021;7;A00001gxaz519m72og3gcu8e3wbg2x7.jpg;0;0;None;M9_cit;0;;big;
16/09/2021;8;A00001ifallx9e1vcrpj0xz2v2l1bvc.jpg;0;0;None;M9_cit;0;;big;
16/09/2021;9;A00001mre7wa8a446zoo3rdja20u31s.jpg;0;0;None;M9_cit;0;;big;
16/09/2021;10;A00001qtv38wa1q83zlr5pooi141w1s.jpg;0;0;None;M9_cit;0;;big;
16/09/2021;11;A00001sz8bqkzq0zr17lmxunfps6ii2.jpg;0;0;None;M9_cit;0;;big;
16/09/2021;12;A00001w7halk3oyksxyvznr5q3vem3y.jpg;0;0;None;M9_cit;0;;big;
16/09/2021;13;A00001wezej7ya386otummtlp9r6cru.jpg;0;0;None;M9_cit;0;;big;
16/09/2021;14;A00001xaznw266ws5k6cgpv5f7s8bty.jpg;0;0;None;M9_cit;0;;big;
16/09/2021;15;A00001yxv8zs82ltzsjoyv6see0uzq9.jpg;0;0;None;M9_cit;0;;big;
16/09/2021;16;A000021brca8pix0p1475vr33a17k5u.jpg;1;91;P. putida;M9_cit;0;;big;
16/09/2021;17;A0000231324ioer85ijegxmg743lynn.jpg;1;91;P. putida;M9_cit;0;;big;
16/09/2021;18;A000023ls3ta6ttl0iw7gp83msg57e6.jpg;1;91;P. putida;M9_cit;0;;big;
16/09/2021;19;A000025huv9kxjn3hza0xxqhslwt4tc.jpg;1;91;P. putida;M9_cit;0;;big;
16/09/2021;20;A000027zrqi3aezz9lt2siq9bohwc1u.jpg;1;91;P. putida;M9_cit;0;;big;
16/09/2021;21;A00002c5lj73313kpz424rsuq10e4q8.jpg;1;91;P. putida;M9_cit;0;;big;
16/09/2021;22;A00002d2kilfobrbq5erai8pm2nczjb.jpg;1;91;P. putida;M9_cit;0;;big;
16/09/2021;23;A00002eu1a3ge3aj789mj2eh8akqsnt.jpg;1;91;P. putida;M9_cit;0;;big;
16/09/2021;24;A00002gfkyesf41a8ujvz2gcisccghz.jpg;1;91;P. putida;M9_cit;0;;big;
16/09/2021;25;A00002h8ahvgqjvwi5bgns6dtg5mvg5.jpg;1;91;P. putida;M9_cit;0;;big;
16/09/2021;26;A00002hz0y2816vvoq3n15b63cb3r95.jpg;1;91;P. putida;M9_cit;0;;big;
16/09/2021;27;A00002o8nzisdk3og1lgybj9nul7m2m.jpg;1;91;P. putida;M9_cit;0;;big;
16/09/2021;28;A00002pexrmshcmz9fzknj9c2y0pbxq.jpg;1;91;P. putida;M9_cit;0;;big;
16/09/2021;29;A00002s6w3asd0zikiqqovcobhgxsu8.jpg;1;91;P. putida;M9_cit;0;;big;
16/09/2021;30;A00002t4lgaor1idwmcnbi8oryhz8ri.jpg;1;91;P. putida;M9_cit;0;;big;
16/09/2021;31;A000032ymuivkqisok7bm7891ztwntg.jpg;1;67;P. putida;M9_cit;0;;big;
16/09/2021;32;A0000374xgg3faz8ut9x8f6aczsb6qh.jpg;1;67;P. putida;M9_cit;0;;big;
16/09/2021;33;A0000395f2kwbakbi86kip7z0cwggr9.jpg;1;67;P. putida;M9_cit;0;;big;
16/09/2021;34;A00003aorrz6rcrujqomgfuv6fouedk.jpg;1;67;P. putida;M9_cit;0;;big;
16/09/2021;35;A00003cu8bvasxy3lp20k4n38s869bj.jpg;1;67;P. putida;M9_cit;0;;big;
16/09/2021;36;A00003g04g2zppox5vhxbqu7tosb67a.jpg;1;67;P. putida;M9_cit;0;;big;
16/09/2021;37;A00003g4yhn60qh7xjws63nx556gg4x.jpg;1;67;P. putida;M9_cit;0;;big;
16/09/2021;38;A00003jbotnyz71n5t7xv4acuthk7u1.jpg;1;67;P. putida;M9_cit;0;;big;
16/09/2021;39;A00003kezhrbni3j1h5gj8atr6h850t.jpg;1;67;P. putida;M9_cit;0;;big;
16/09/2021;40;A00003kqah2dnhuiiknxlefynu79fsr.jpg;1;67;P. putida;M9_cit;0;;big;
16/09/2021;41;A00003l9jtmyozxsxcr4c7f4o7tsj3x.jpg;1;67;P. putida;M9_cit;0;;big;
16/09/2021;42;A00003mrs477xdbh95su65uvpr7euo1.jpg;1;67;P. putida;M9_cit;0;;big;
16/09/2021;43;A00003npkb798j1i5nn0evttn6wmlwh.jpg;1;67;P. putida;M9_cit;0;;big;
16/09/2021;44;A00003nrk93x3oosyeb151gmzmvinui.jpg;1;67;P. putida;M9_cit;0;;big;
16/09/2021;45;A00003yg3tagqbshz716acr2w9wfxwg.jpg;1;67;P. putida;M9_cit;0;;big;
16/09/2021;46;A000042hhjzcwvflnjxzktp0is7ps99.jpg;1;44;P. putida;M9_cit;0;;big;
16/09/2021;47;A0000437ugpshij4g5vsrnlno8wuufs.jpg;1;44;P. putida;M9_cit;0;;big;
16/09/2021;48;A000044d9jqi8hq7zaeu8ibigm9s418.jpg;1;44;P. putida;M9_cit;0;;big;
16/09/2021;49;A000044e1qrgd3sa1hqr4a7mi7m54yb.jpg;1;44;P. putida;M9_cit;0;;big;
16/09/2021;50;A000046dfkyg6t78mnbk4iyxoda93h0.jpg;1;44;P. putida;M9_cit;0;;big;
16/09/2021;51;A0000482je8nzs00hz4e595r0p0b3m2.jpg;1;44;P. putida;M9_cit;0;;big;
16/09/2021;52;A000049r7jflirf4mq6x8dnomlogj5a.jpg;1;44;P. putida;M9_cit;0;;big;
16/09/2021;53;A00004an08qaig3t867aj8vu3kp51f8.jpg;1;44;P. putida;M9_cit;0;;big;
16/09/2021;54;A00004ga5xno45lsqdqwoevjvyr3xjf.jpg;1;44;P. putida;M9_cit;0;;big;
